aadhaar,farmer_id,state,district,land_size_acres,usual_crop,irrigation_type,soil_type
100000000103,F000103,Punjab,PunjabDist129,1.39,Paddy,Canal,Clay
100000000104,F000104,Nagaland,NagalandDist7,0.96,Maize,Borewell,Loam
100000000105,F000105,Assam,AssamDist69,1.6,Paddy,Rainfed,Sandy
100000000106,F000106,Odisha,OdishaDist47,2.52,Paddy,Rainfed,Loam
100000000107,F000107,Odisha,OdishaDist27,8.24,Groundnut,Rainfed,Loam
100000000108,F000108,West Bengal,WestDist195,2.1,Paddy,Borewell,Sandy
100000000109,F000109,Nagaland,NagalandDist132,2.24,Paddy,Canal,Clay
100000000110,F000110,Uttarakhand,UttarakhandDist194,1.72,Rice,Rainfed,Clay
100000000111,F000111,Meghalaya,MeghalayaDist125,0.39,Millet,Borewell,Sandy
100000000112,F000112,Bihar,BiharDist4,1.78,Paddy,Rainfed,Sandy
100000000113,F000113,Nagaland,NagalandDist128,1.91,Maize,Borewell,Loam
100000000114,F000114,Tamil Nadu,TamilDist142,13.07,Sugarcane,Rainfed,Clay
100000000115,F000115,Chhattisgarh,ChhattisgarhDist198,1.56,Maize,Rainfed,Sandy
100000000116,F000116,Uttar Pradesh,UttarDist151,2.32,Paddy,Borewell,Sandy
100000000117,F000117,Odisha,OdishaDist117,1.77,Groundnut,Canal,Clay
100000000118,F000118,Karnataka,KarnatakaDist191,0.72,Maize,Borewell,Clay
100000000119,F000119,Meghalaya,MeghalayaDist129,4.55,Millet,Rainfed,Sandy
100000000120,F000120,Odisha,OdishaDist37,3.33,Groundnut,Rainfed,Clay
100000000121,F000121,Maharashtra,MaharashtraDist85,3.43,Maize,Canal,Clay
100000000122,F000122,West Bengal,WestDist139,0.88,Jute,Borewell,Clay
100000000123,F000123,Arunachal Pradesh,ArunachalDist112,5.6,Paddy,Borewell,Sandy
100000000124,F000124,Bihar,BiharDist12,0.59,Wheat,Rainfed,Loam
100000000125,F000125,Karnataka,KarnatakaDist47,2.91,Ragi,Borewell,Clay
100000000126,F000126,Goa,GoaDist37,10.51,Paddy,Borewell,Clay
100000000127,F000127,Haryana,HaryanaDist74,0.82,Paddy,Rainfed,Clay
100000000128,F000128,Sikkim,SikkimDist177,1.16,Paddy,Borewell,Clay
100000000129,F000129,Himachal Pradesh,HimachalDist98,1.97,Paddy,Rainfed,Loam
100000000130,F000130,Odisha,OdishaDist71,1.22,Groundnut,Borewell,Sandy
100000000131,F000131,Andhra Pradesh,AndhraDist74,0.53,Groundnut,Rainfed,Loam
100000000132,F000132,Tripura,TripuraDist194,1.92,Paddy,Rainfed,Clay
100000000133,F000133,Telangana,TelanganaDist113,0.78,Cotton,Rainfed,Sandy
100000000134,F000134,Arunachal Pradesh,ArunachalDist139,2.66,Millet,Borewell,Clay
100000000135,F000135,Kerala,KeralaDist76,0.87,Rubber,Rainfed,Loam
100000000136,F000136,Telangana,TelanganaDist186,6.3,Maize,Canal,Loam
100000000137,F000137,Sikkim,SikkimDist138,0.97,Potato,Rainfed,Sandy
100000000138,F000138,Bihar,BiharDist96,1.41,Maize,Rainfed,Sandy
100000000139,F000139,Bihar,BiharDist157,3.49,Wheat,Borewell,Loam
100000000140,F000140,Haryana,HaryanaDist36,0.68,Cotton,Rainfed,Clay
100000000141,F000141,Arunachal Pradesh,ArunachalDist100,2.19,Paddy,Borewell,Clay
100000000142,F000142,Manipur,ManipurDist40,5.18,Maize,Rainfed,Sandy
100000000143,F000143,Maharashtra,MaharashtraDist61,0.5,Cotton,Rainfed,Clay
100000000144,F000144,West Bengal,WestDist102,2.11,Maize,Rainfed,Clay
100000000145,F000145,Himachal Pradesh,HimachalDist6,2.24,Apple,Rainfed,Clay
100000000146,F000146,Arunachal Pradesh,ArunachalDist151,3.41,Millet,Rainfed,Sandy
100000000147,F000147,Gujarat,GujaratDist34,0.68,Groundnut,Rainfed,Sandy
100000000148,F000148,Nagaland,NagalandDist151,0.63,Maize,Borewell,Loam
100000000149,F000149,Karnataka,KarnatakaDist122,2.77,Ragi,Borewell,Loam
100000000150,F000150,Manipur,ManipurDist169,2.31,Maize,Canal,Clay
100000000151,F000151,Mizoram,MizoramDist176,2.23,Maize,Rainfed,Loam
100000000152,F000152,Bihar,BiharDist33,2.4,Maize,Rainfed,Loam
100000000153,F000153,Himachal Pradesh,HimachalDist117,1.06,Maize,Canal,Sandy
100000000154,F000154,Mizoram,MizoramDist185,2.19,Maize,Rainfed,Loam
100000000155,F000155,West Bengal,WestDist187,2.3,Paddy,Canal,Loam
100000000156,F000156,Bihar,BiharDist18,1.03,Maize,Borewell,Clay
100000000157,F000157,Assam,AssamDist16,8.11,Paddy,Borewell,Loam
100000000158,F000158,Odisha,OdishaDist185,2.66,Groundnut,Borewell,Clay
100000000159,F000159,Arunachal Pradesh,ArunachalDist58,0.7,Millet,Borewell,Loam
100000000160,F000160,West Bengal,WestDist110,3.08,Paddy,Borewell,Sandy
100000000161,F000161,West Bengal,WestDist178,0.84,Jute,Rainfed,Sandy
100000000162,F000162,Himachal Pradesh,HimachalDist37,3.42,Apple,Borewell,Clay
100000000163,F000163,Odisha,OdishaDist97,4.6,Groundnut,Borewell,Sandy
100000000164,F000164,Maharashtra,MaharashtraDist22,0.95,Soybean,Borewell,Clay
100000000165,F000165,Arunachal Pradesh,ArunachalDist109,3.94,Paddy,Borewell,Sandy
100000000166,F000166,Meghalaya,MeghalayaDist174,2.54,Millet,Borewell,Sandy
100000000167,F000167,Odisha,OdishaDist53,3.52,Groundnut,Rainfed,Loam
100000000168,F000168,Jharkhand,JharkhandDist111,8.31,Paddy,Rainfed,Clay
100000000169,F000169,Goa,GoaDist91,1.5,Paddy,Borewell,Sandy
100000000170,F000170,Assam,AssamDist110,1.0,Tea,Borewell,Loam
100000000171,F000171,Odisha,OdishaDist159,0.89,Groundnut,Rainfed,Clay
100000000172,F000172,Manipur,ManipurDist102,0.95,Maize,Canal,Loam
100000000173,F000173,West Bengal,WestDist136,1.71,Maize,Borewell,Clay
100000000174,F000174,Mizoram,MizoramDist38,2.39,Paddy,Rainfed,Clay
100000000175,F000175,Haryana,HaryanaDist20,2.27,Wheat,Borewell,Loam
100000000176,F000176,Goa,GoaDist163,3.53,Cashew,Rainfed,Sandy
100000000177,F000177,Punjab,PunjabDist162,1.84,Paddy,Rainfed,Sandy
100000000178,F000178,Jharkhand,JharkhandDist95,5.83,Maize,Borewell,Sandy
100000000179,F000179,Uttarakhand,UttarakhandDist142,1.47,Wheat,Borewell,Loam
100000000180,F000180,Uttar Pradesh,UttarDist39,16.06,Sugarcane,Canal,Sandy
100000000181,F000181,Arunachal Pradesh,ArunachalDist11,3.01,Millet,Rainfed,Clay
100000000182,F000182,Haryana,HaryanaDist73,0.92,Cotton,Rainfed,Sandy
100000000183,F000183,Madhya Pradesh,MadhyaDist25,0.77,Soybean,Rainfed,Loam
100000000184,F000184,Nagaland,NagalandDist21,2.68,Maize,Borewell,Sandy
100000000185,F000185,Odisha,OdishaDist153,1.52,Paddy,Rainfed,Clay
100000000186,F000186,Tamil Nadu,TamilDist180,3.23,Paddy,Borewell,Clay
100000000187,F000187,Uttarakhand,UttarakhandDist55,2.66,Rice,Rainfed,Sandy
100000000188,F000188,Karnataka,KarnatakaDist130,1.72,Sugarcane,Borewell,Loam
100000000189,F000189,Tripura,TripuraDist178,0.93,Paddy,Rainfed,Sandy
100000000190,F000190,Tripura,TripuraDist114,0.54,Paddy,Rainfed,Loam
100000000191,F000191,Punjab,PunjabDist121,1.27,Paddy,Rainfed,Clay
100000000192,F000192,Uttarakhand,UttarakhandDist98,3.62,Rice,Rainfed,Sandy
100000000193,F000193,Mizoram,MizoramDist96,2.16,Maize,Rainfed,Sandy
100000000194,F000194,Nagaland,NagalandDist70,0.67,Paddy,Rainfed,Sandy
100000000195,F000195,Manipur,ManipurDist90,2.09,Paddy,Rainfed,Loam
100000000196,F000196,Andhra Pradesh,AndhraDist8,2.48,Maize,Borewell,Clay
100000000197,F000197,Karnataka,KarnatakaDist179,0.9,Ragi,Rainfed,Loam
100000000198,F000198,Uttarakhand,UttarakhandDist39,2.06,Rice,Canal,Sandy
100000000199,F000199,Nagaland,NagalandDist160,1.91,Maize,Rainfed,Loam
100000000200,F000200,Manipur,ManipurDist62,0.73,Paddy,Borewell,Clay
100000000201,F000201,Tamil Nadu,TamilDist171,2.43,Paddy,Borewell,Loam
100000000202,F000202,Sikkim,SikkimDist130,2.85,Paddy,Canal,Clay
100000000203,F000203,Nagaland,NagalandDist192,4.33,Paddy,Borewell,Clay
100000000204,F000204,Andhra Pradesh,AndhraDist194,4.23,Maize,Borewell,Sandy
100000000205,F000205,Karnataka,KarnatakaDist119,0.61,Maize,Borewell,Clay
100000000206,F000206,Tamil Nadu,TamilDist76,0.86,Sugarcane,Borewell,Loam
100000000207,F000207,Gujarat,GujaratDist140,2.75,Groundnut,Rainfed,Clay
100000000208,F000208,Meghalaya,MeghalayaDist168,2.75,Millet,Rainfed,Loam
100000000209,F000209,Karnataka,KarnatakaDist99,2.75,Paddy,Borewell,Clay
100000000210,F000210,Karnataka,KarnatakaDist187,20.0,Maize,Rainfed,Clay
100000000211,F000211,Maharashtra,MaharashtraDist170,2.88,Cotton,Rainfed,Loam
100000000212,F000212,Jharkhand,JharkhandDist187,4.52,Maize,Rainfed,Clay
100000000213,F000213,West Bengal,WestDist172,3.91,Maize,Rainfed,Clay
100000000214,F000214,Rajasthan,RajasthanDist156,3.07,Wheat,Borewell,Sandy
100000000215,F000215,Sikkim,SikkimDist146,1.42,Potato,Borewell,Loam
100000000216,F000216,Arunachal Pradesh,ArunachalDist136,3.34,Paddy,Rainfed,Clay
100000000217,F000217,Kerala,KeralaDist133,0.98,Coconut,Rainfed,Loam
100000000218,F000218,Madhya Pradesh,MadhyaDist178,1.51,Maize,Borewell,Clay
100000000219,F000219,Meghalaya,MeghalayaDist23,1.24,Paddy,Borewell,Loam
100000000220,F000220,Uttar Pradesh,UttarDist41,1.95,Sugarcane,Rainfed,Sandy
100000000221,F000221,Tamil Nadu,TamilDist36,11.61,Cotton,Rainfed,Clay
100000000222,F000222,Haryana,HaryanaDist34,0.41,Paddy,Borewell,Sandy
100000000223,F000223,Punjab,PunjabDist197,3.16,Wheat,Borewell,Clay
100000000224,F000224,Maharashtra,MaharashtraDist33,0.5,Cotton,Rainfed,Sandy
100000000225,F000225,Uttarakhand,UttarakhandDist42,1.25,Rice,Canal,Loam
100000000226,F000226,Karnataka,KarnatakaDist163,4.35,Maize,Rainfed,Sandy
100000000227,F000227,Nagaland,NagalandDist149,1.92,Maize,Rainfed,Sandy
100000000228,F000228,Chhattisgarh,ChhattisgarhDist11,0.77,Paddy,Rainfed,Sandy
100000000229,F000229,Uttarakhand,UttarakhandDist147,1.03,Rice,Borewell,Sandy
100000000230,F000230,Maharashtra,MaharashtraDist176,3.14,Cotton,Rainfed,Sandy
100000000231,F000231,Madhya Pradesh,MadhyaDist88,1.02,Soybean,Borewell,Loam
100000000232,F000232,Punjab,PunjabDist103,2.17,Wheat,Borewell,Sandy
100000000233,F000233,Chhattisgarh,ChhattisgarhDist37,1.89,Maize,Canal,Clay
100000000234,F000234,Bihar,BiharDist41,1.08,Paddy,Borewell,Clay
100000000235,F000235,Uttarakhand,UttarakhandDist132,10.13,Wheat,Rainfed,Sandy
100000000236,F000236,Manipur,ManipurDist56,3.03,Maize,Canal,Loam
100000000237,F000237,Odisha,OdishaDist74,0.36,Groundnut,Borewell,Clay
100000000238,F000238,Nagaland,NagalandDist104,2.12,Paddy,Rainfed,Clay
100000000239,F000239,Kerala,KeralaDist99,1.07,Paddy,Canal,Sandy
100000000240,F000240,Mizoram,MizoramDist101,3.6,Maize,Borewell,Sandy
100000000241,F000241,Kerala,KeralaDist12,0.97,Coconut,Rainfed,Loam
100000000242,F000242,Arunachal Pradesh,ArunachalDist36,1.66,Paddy,Rainfed,Clay
100000000243,F000243,Karnataka,KarnatakaDist131,2.73,Paddy,Borewell,Sandy
100000000244,F000244,Nagaland,NagalandDist107,3.64,Maize,Canal,Clay
100000000245,F000245,Odisha,OdishaDist199,0.7,Groundnut,Rainfed,Sandy
100000000246,F000246,Odisha,OdishaDist199,1.39,Paddy,Rainfed,Sandy
100000000247,F000247,Uttarakhand,UttarakhandDist49,1.25,Wheat,Borewell,Sandy
100000000248,F000248,Andhra Pradesh,AndhraDist121,1.08,Maize,Canal,Clay
100000000249,F000249,West Bengal,WestDist123,7.48,Jute,Borewell,Loam
100000000250,F000250,Mizoram,MizoramDist198,2.52,Maize,Rainfed,Clay
100000000251,F000251,West Bengal,WestDist72,0.66,Jute,Rainfed,Sandy
100000000252,F000252,Nagaland,NagalandDist126,3.8,Maize,Rainfed,Clay
100000000253,F000253,Karnataka,KarnatakaDist98,9.95,Sugarcane,Canal,Sandy
100000000254,F000254,Madhya Pradesh,MadhyaDist168,4.16,Soybean,Borewell,Clay
100000000255,F000255,Himachal Pradesh,HimachalDist28,0.54,Maize,Borewell,Sandy
100000000256,F000256,Punjab,PunjabDist26,1.24,Wheat,Borewell,Sandy
100000000257,F000257,Maharashtra,MaharashtraDist41,5.02,Sugarcane,Canal,Sandy
100000000258,F000258,Maharashtra,MaharashtraDist23,1.03,Soybean,Rainfed,Clay
100000000259,F000259,Rajasthan,RajasthanDist107,2.6,Cotton,Canal,Sandy
100000000260,F000260,Uttarakhand,UttarakhandDist75,3.39,Rice,Rainfed,Clay
100000000261,F000261,Arunachal Pradesh,ArunachalDist165,0.87,Paddy,Borewell,Sandy
100000000262,F000262,Nagaland,NagalandDist188,1.74,Maize,Rainfed,Clay
100000000263,F000263,Manipur,ManipurDist50,0.2,Maize,Borewell,Sandy
100000000264,F000264,Goa,GoaDist123,0.8,Cashew,Canal,Loam
100000000265,F000265,Karnataka,KarnatakaDist150,1.49,Maize,Borewell,Loam
100000000266,F000266,Telangana,TelanganaDist79,0.67,Cotton,Borewell,Clay
100000000267,F000267,Goa,GoaDist76,6.73,Cashew,Canal,Sandy
100000000268,F000268,Kerala,KeralaDist96,0.58,Rubber,Borewell,Loam
100000000269,F000269,Maharashtra,MaharashtraDist21,1.28,Soybean,Rainfed,Loam
100000000270,F000270,Mizoram,MizoramDist130,2.02,Maize,Rainfed,Loam
100000000271,F000271,Gujarat,GujaratDist53,5.77,Paddy,Canal,Loam
100000000272,F000272,Tamil Nadu,TamilDist107,0.58,Cotton,Borewell,Sandy
100000000273,F000273,Manipur,ManipurDist1,4.62,Paddy,Canal,Sandy
100000000274,F000274,Telangana,TelanganaDist16,1.84,Paddy,Canal,Loam
100000000275,F000275,Assam,AssamDist166,0.83,Tea,Borewell,Loam
100000000276,F000276,Maharashtra,MaharashtraDist139,2.64,Sugarcane,Canal,Clay
100000000277,F000277,Chhattisgarh,ChhattisgarhDist1,2.14,Soybean,Borewell,Sandy
100000000278,F000278,Tripura,TripuraDist59,1.13,Paddy,Rainfed,Clay
100000000279,F000279,Haryana,HaryanaDist9,1.93,Paddy,Borewell,Clay
100000000280,F000280,Uttar Pradesh,UttarDist115,1.34,Sugarcane,Rainfed,Loam
100000000281,F000281,Punjab,PunjabDist199,2.0,Wheat,Borewell,Loam
100000000282,F000282,Arunachal Pradesh,ArunachalDist148,3.09,Paddy,Canal,Clay
100000000283,F000283,Punjab,PunjabDist71,6.48,Paddy,Borewell,Loam
100000000284,F000284,Arunachal Pradesh,ArunachalDist165,0.68,Paddy,Rainfed,Clay
100000000285,F000285,Sikkim,SikkimDist48,10.04,Potato,Rainfed,Clay
100000000286,F000286,Tripura,TripuraDist15,0.38,Maize,Rainfed,Clay
100000000287,F000287,Nagaland,NagalandDist21,1.61,Maize,Canal,Loam
100000000288,F000288,Manipur,ManipurDist11,2.92,Maize,Canal,Loam
100000000289,F000289,West Bengal,WestDist86,2.28,Paddy,Borewell,Sandy
100000000290,F000290,Jharkhand,JharkhandDist123,1.11,Paddy,Borewell,Loam
100000000291,F000291,Haryana,HaryanaDist98,1.54,Cotton,Rainfed,Clay
100000000292,F000292,Manipur,ManipurDist185,1.23,Maize,Borewell,Sandy
100000000293,F000293,Meghalaya,MeghalayaDist5,1.14,Millet,Borewell,Clay
100000000294,F000294,Himachal Pradesh,HimachalDist146,3.6,Maize,Canal,Clay
100000000295,F000295,Uttarakhand,UttarakhandDist186,2.42,Rice,Canal,Sandy
100000000296,F000296,Rajasthan,RajasthanDist126,1.05,Cotton,Canal,Sandy
100000000297,F000297,Goa,GoaDist106,3.74,Paddy,Canal,Loam
100000000298,F000298,Chhattisgarh,ChhattisgarhDist159,2.33,Soybean,Borewell,Loam
100000000299,F000299,Rajasthan,RajasthanDist4,3.49,Cotton,Rainfed,Sandy
100000000300,F000300,Andhra Pradesh,AndhraDist46,3.02,Groundnut,Borewell,Clay
100000000301,F000301,Bihar,BiharDist69,0.94,Paddy,Canal,Loam
100000000302,F000302,Uttar Pradesh,UttarDist77,1.16,Paddy,Borewell,Clay
100000000303,F000303,Sikkim,SikkimDist142,3.31,Paddy,Rainfed,Sandy
100000000304,F000304,Meghalaya,MeghalayaDist85,2.97,Paddy,Rainfed,Sandy
100000000305,F000305,Odisha,OdishaDist146,1.79,Paddy,Rainfed,Loam
100000000306,F000306,Meghalaya,MeghalayaDist9,2.0,Millet,Rainfed,Sandy
100000000307,F000307,Goa,GoaDist20,5.06,Cashew,Rainfed,Sandy
100000000308,F000308,Jharkhand,JharkhandDist85,1.14,Paddy,Canal,Sandy
100000000309,F000309,Madhya Pradesh,MadhyaDist14,2.82,Maize,Rainfed,Sandy
100000000310,F000310,Bihar,BiharDist199,1.55,Maize,Rainfed,Clay
100000000311,F000311,Karnataka,KarnatakaDist111,1.53,Ragi,Borewell,Clay
100000000312,F000312,Goa,GoaDist40,4.39,Cashew,Rainfed,Clay
100000000313,F000313,Madhya Pradesh,MadhyaDist79,3.53,Maize,Borewell,Clay
100000000314,F000314,Manipur,ManipurDist105,3.49,Maize,Borewell,Loam
100000000315,F000315,Bihar,BiharDist99,5.18,Paddy,Borewell,Sandy
100000000316,F000316,Andhra Pradesh,AndhraDist63,1.85,Maize,Borewell,Loam
100000000317,F000317,Odisha,OdishaDist17,3.14,Paddy,Rainfed,Loam
100000000318,F000318,Goa,GoaDist185,1.42,Cashew,Canal,Clay
100000000319,F000319,Rajasthan,RajasthanDist102,2.36,Wheat,Canal,Loam
100000000320,F000320,Karnataka,KarnatakaDist35,1.64,Sugarcane,Canal,Clay
100000000321,F000321,Jharkhand,JharkhandDist82,1.97,Maize,Rainfed,Loam
100000000322,F000322,Jharkhand,JharkhandDist101,2.93,Pulses,Rainfed,Sandy
100000000323,F000323,Kerala,KeralaDist141,0.95,Paddy,Rainfed,Loam
100000000324,F000324,Andhra Pradesh,AndhraDist105,9.72,Groundnut,Rainfed,Loam
100000000325,F000325,Sikkim,SikkimDist97,0.81,Potato,Borewell,Clay
100000000326,F000326,Assam,AssamDist108,0.69,Tea,Canal,Clay
100000000327,F000327,Nagaland,NagalandDist22,4.6,Paddy,Rainfed,Clay
