aadhaar,farmer_id,state,district,land_size_acres,usual_crop,irrigation_type,soil_type
100000000028,F000028,Puducherry,PDist81,2.46,Paddy,Borewell,Loam
100000000029,F000029,Bihar,BDist131,1.13,Paddy,Canal,Sandy
100000000030,F000030,Goa,GDist146,1.44,Paddy,Borewell,Loam
100000000031,F000031,Meghalaya,MDist67,1.13,Paddy,Canal,Clay
100000000032,F000032,Maharashtra,MDist19,8.02,Sugarcane,Borewell,Loam
100000000033,F000033,Andhra Pradesh,APDist90,1.8,Maize,Rainfed,Loam
100000000034,F000034,Chhattisgarh,CDist136,0.78,Paddy,Borewell,Loam
100000000035,F000035,Andhra Pradesh,APDist28,3.52,Groundnut,Borewell,Sandy
100000000036,F000036,Jharkhand,JDist130,0.69,Maize,Canal,Sandy
100000000037,F000037,Puducherry,PDist34,2.15,Sugarcane,Borewell,Clay
100000000038,F000038,Mizoram,MDist39,0.38,Paddy,Rainfed,Sandy
100000000039,F000039,Assam,ADist11,0.63,Tea,Canal,Clay
100000000040,F000040,Tamil Nadu,TNDist105,2.13,Paddy,Canal,Sandy
100000000041,F000041,Jharkhand,JDist86,3.29,Paddy,Rainfed,Loam
100000000042,F000042,Uttarakhand,UDist57,2.09,Rice,Borewell,Sandy
100000000043,F000043,Madhya Pradesh,MPDist72,1.66,Soybean,Borewell,Loam
100000000044,F000044,Chhattisgarh,CDist8,1.43,Maize,Canal,Clay
100000000045,F000045,Haryana,HDist81,0.56,Paddy,Borewell,Clay
100000000046,F000046,West Bengal,WBDist134,1.02,Jute,Borewell,Sandy
100000000047,F000047,Madhya Pradesh,MPDist32,1.26,Soybean,Borewell,Sandy
100000000048,F000048,Punjab,PDist108,4.24,Paddy,Canal,Clay
100000000049,F000049,Tripura,TDist54,2.4,Paddy,Canal,Clay
100000000050,F000050,West Bengal,WBDist44,0.44,Jute,Canal,Clay
100000000051,F000051,Goa,GDist80,2.36,Cashew,Canal,Sandy
100000000052,F000052,Manipur,MDist19,1.34,Paddy,Borewell,Loam
100000000053,F000053,Jammu & Kashmir,J&KDist2,1.06,Apple,Canal,Sandy
100000000054,F000054,Gujarat,GDist32,2.97,Cotton,Borewell,Sandy
100000000055,F000055,Jammu & Kashmir,J&KDist114,4.16,Paddy,Rainfed,Sandy
100000000056,F000056,Chandigarh,CDist64,3.84,Vegetables,Borewell,Loam
100000000057,F000057,Nagaland,NDist82,0.93,Maize,Borewell,Clay
100000000058,F000058,Goa,GDist105,1.42,Paddy,Borewell,Clay
100000000059,F000059,Sikkim,SDist6,2.38,Potato,Borewell,Loam
100000000060,F000060,Tripura,TDist108,3.98,Maize,Rainfed,Clay
100000000061,F000061,Manipur,MDist104,1.24,Maize,Borewell,Clay
100000000062,F000062,Karnataka,KDist7,1.57,Sugarcane,Rainfed,Sandy
100000000063,F000063,Goa,GDist84,0.75,Cashew,Rainfed,Loam
100000000064,F000064,Sikkim,SDist139,0.7,Potato,Borewell,Clay
100000000065,F000065,Bihar,BDist6,3.49,Maize,Canal,Sandy
100000000066,F000066,Jharkhand,JDist66,5.39,Paddy,Borewell,Sandy
100000000067,F000067,Telangana,TDist80,1.72,Paddy,Canal,Sandy
100000000068,F000068,Gujarat,GDist51,4.07,Paddy,Borewell,Clay
100000000069,F000069,Chhattisgarh,CDist31,2.43,Soybean,Rainfed,Loam
100000000070,F000070,Assam,ADist108,1.09,Tea,Borewell,Clay
100000000071,F000071,Puducherry,PDist112,2.43,Paddy,Borewell,Clay
100000000072,F000072,Kerala,KDist120,6.24,Rubber,Rainfed,Clay
100000000073,F000073,West Bengal,WBDist63,1.77,Jute,Borewell,Loam
100000000074,F000074,Jammu & Kashmir,J&KDist88,6.37,Apple,Borewell,Clay
100000000075,F000075,Nagaland,NDist62,0.22,Maize,Borewell,Loam
100000000076,F000076,Ladakh,LDist79,3.52,Potato,Borewell,Loam
100000000077,F000077,Telangana,TDist117,1.95,Maize,Canal,Clay
100000000078,F000078,Nagaland,NDist48,1.43,Maize,Borewell,Sandy
100000000079,F000079,Madhya Pradesh,MPDist73,1.96,Wheat,Rainfed,Clay
100000000080,F000080,Gujarat,GDist12,0.37,Groundnut,Borewell,Loam
100000000081,F000081,Bihar,BDist4,1.53,Wheat,Borewell,Loam
100000000082,F000082,Odisha,ODist30,2.42,Groundnut,Borewell,Loam
100000000083,F000083,Chhattisgarh,CDist78,5.94,Maize,Borewell,Sandy
100000000084,F000084,Goa,GDist134,1.2,Paddy,Borewell,Clay
100000000085,F000085,Tripura,TDist26,0.95,Maize,Borewell,Sandy
100000000086,F000086,Maharashtra,MDist105,1.22,Maize,Canal,Loam
100000000087,F000087,Delhi,DDist19,3.79,Paddy,Borewell,Loam
100000000088,F000088,Manipur,MDist69,2.37,Maize,Canal,Loam
100000000089,F000089,Jharkhand,JDist113,1.19,Paddy,Borewell,Clay
100000000090,F000090,Haryana,HDist113,2.75,Paddy,Canal,Sandy
100000000091,F000091,Goa,GDist148,1.97,Paddy,Rainfed,Sandy
100000000092,F000092,Arunachal Pradesh,APDist47,3.95,Millet,Borewell,Loam
100000000093,F000093,West Bengal,WBDist42,1.04,Jute,Rainfed,Clay
100000000094,F000094,Sikkim,SDist10,1.4,Potato,Canal,Clay
100000000095,F000095,Jammu & Kashmir,J&KDist1,1.33,Paddy,Borewell,Clay
100000000096,F000096,Jammu & Kashmir,J&KDist14,0.57,Apple,Borewell,Clay
100000000097,F000097,Maharashtra,MDist62,2.31,Sugarcane,Borewell,Clay
100000000098,F000098,Karnataka,KDist30,2.25,Paddy,Canal,Sandy
100000000099,F000099,Jammu & Kashmir,J&KDist70,1.83,Paddy,Canal,Loam
100000000100,F000100,Uttarakhand,UDist131,1.51,Wheat,Rainfed,Loam
100000000101,F000101,Himachal Pradesh,HPDist1,0.59,Apple,Rainfed,Clay
100000000102,F000102,Odisha,ODist89,1.3,Groundnut,Canal,Sandy
100000000103,F000103,Sikkim,SDist99,1.39,Potato,Canal,Clay
100000000104,F000104,Manipur,MDist39,0.96,Maize,Borewell,Clay
100000000105,F000105,Puducherry,PDist26,1.6,Paddy,Borewell,Sandy
100000000106,F000106,Andaman & Nicobar,A&NDist121,2.52,Paddy,Borewell,Loam
100000000107,F000107,Mizoram,MDist137,8.24,Maize,Canal,Sandy
100000000108,F000108,Tripura,TDist74,2.1,Maize,Rainfed,Clay
100000000109,F000109,Manipur,MDist43,2.24,Paddy,Borewell,Loam
100000000110,F000110,Punjab,PDist136,1.72,Wheat,Borewell,Loam
100000000111,F000111,Uttarakhand,UDist150,0.39,Rice,Borewell,Sandy
100000000112,F000112,Jharkhand,JDist120,1.78,Paddy,Canal,Clay
100000000113,F000113,Odisha,ODist65,1.91,Paddy,Borewell,Clay
100000000114,F000114,Jammu & Kashmir,J&KDist76,13.07,Apple,Rainfed,Clay
100000000115,F000115,Odisha,ODist13,1.56,Paddy,Rainfed,Sandy
100000000116,F000116,Puducherry,PDist36,2.32,Sugarcane,Canal,Clay
100000000117,F000117,Gujarat,GDist34,1.77,Paddy,Canal,Clay
100000000118,F000118,Goa,GDist94,0.72,Cashew,Rainfed,Loam
100000000119,F000119,Andaman & Nicobar,A&NDist76,4.55,Paddy,Rainfed,Clay
100000000120,F000120,Sikkim,SDist102,3.33,Paddy,Canal,Loam
100000000121,F000121,Telangana,TDist68,3.43,Paddy,Rainfed,Loam
100000000122,F000122,Tripura,TDist57,0.88,Maize,Canal,Clay
100000000123,F000123,Chhattisgarh,CDist10,5.6,Soybean,Rainfed,Clay
100000000124,F000124,Punjab,PDist139,0.59,Paddy,Borewell,Loam
100000000125,F000125,Uttarakhand,UDist95,2.91,Rice,Canal,Clay
100000000126,F000126,Maharashtra,MDist92,10.51,Soybean,Rainfed,Clay
100000000127,F000127,Bihar,BDist55,0.82,Maize,Borewell,Loam
100000000128,F000128,Arunachal Pradesh,APDist142,1.16,Paddy,Rainfed,Loam
100000000129,F000129,Maharashtra,MDist38,1.97,Maize,Borewell,Loam
100000000130,F000130,Himachal Pradesh,HPDist61,1.22,Maize,Rainfed,Loam
100000000131,F000131,Rajasthan,RDist122,0.53,Bajra,Borewell,Loam
100000000132,F000132,Delhi,DDist134,1.92,Paddy,Canal,Loam
100000000133,F000133,Punjab,PDist28,0.78,Paddy,Canal,Loam
100000000134,F000134,Puducherry,PDist150,2.66,Sugarcane,Rainfed,Clay
100000000135,F000135,Rajasthan,RDist30,0.87,Wheat,Rainfed,Sandy
100000000136,F000136,Maharashtra,MDist25,6.3,Soybean,Rainfed,Clay
100000000137,F000137,Rajasthan,RDist18,0.97,Wheat,Borewell,Clay
100000000138,F000138,Goa,GDist16,1.41,Paddy,Borewell,Loam
100000000139,F000139,Sikkim,SDist14,3.49,Paddy,Borewell,Sandy
100000000140,F000140,Odisha,ODist28,0.68,Groundnut,Borewell,Sandy
100000000141,F000141,Tamil Nadu,TNDist143,2.19,Cotton,Borewell,Clay
100000000142,F000142,Arunachal Pradesh,APDist47,5.18,Millet,Borewell,Sandy
100000000143,F000143,Jharkhand,JDist136,0.5,Pulses,Borewell,Loam
100000000144,F000144,Maharashtra,MDist146,2.11,Soybean,Canal,Loam
100000000145,F000145,Goa,GDist109,2.24,Paddy,Borewell,Sandy
100000000146,F000146,Puducherry,PDist125,3.41,Sugarcane,Borewell,Sandy
100000000147,F000147,Andaman & Nicobar,A&NDist55,0.68,Paddy,Borewell,Clay
100000000148,F000148,Himachal Pradesh,HPDist98,0.63,Paddy,Borewell,Loam
100000000149,F000149,Manipur,MDist81,2.77,Maize,Borewell,Sandy
100000000150,F000150,West Bengal,WBDist44,2.31,Jute,Rainfed,Clay
100000000151,F000151,Jammu & Kashmir,J&KDist102,2.23,Apple,Borewell,Loam
100000000152,F000152,Punjab,PDist50,2.4,Paddy,Borewell,Loam
100000000153,F000153,Tamil Nadu,TNDist51,1.06,Sugarcane,Rainfed,Sandy
100000000154,F000154,Kerala,KDist119,2.19,Rubber,Rainfed,Sandy
100000000155,F000155,Delhi,DDist78,2.3,Paddy,Rainfed,Sandy
100000000156,F000156,Nagaland,NDist74,1.03,Paddy,Borewell,Loam
100000000157,F000157,Chhattisgarh,CDist11,8.11,Soybean,Canal,Sandy
100000000158,F000158,Delhi,DDist88,2.66,Vegetables,Canal,Sandy
100000000159,F000159,Goa,GDist41,0.7,Paddy,Borewell,Sandy
100000000160,F000160,Telangana,TDist86,3.08,Maize,Borewell,Clay
100000000161,F000161,Chhattisgarh,CDist39,0.84,Maize,Canal,Clay
100000000162,F000162,Sikkim,SDist101,3.42,Paddy,Canal,Loam
100000000163,F000163,Himachal Pradesh,HPDist33,4.6,Maize,Rainfed,Clay
100000000164,F000164,Andaman & Nicobar,A&NDist55,0.95,Coconut,Canal,Sandy
100000000165,F000165,Sikkim,SDist130,3.94,Potato,Borewell,Loam
100000000166,F000166,Andaman & Nicobar,A&NDist43,2.54,Coconut,Borewell,Sandy
100000000167,F000167,Delhi,DDist115,3.52,Vegetables,Borewell,Sandy
100000000168,F000168,Manipur,MDist147,8.31,Paddy,Borewell,Clay
100000000169,F000169,Delhi,DDist52,1.5,Paddy,Rainfed,Clay
100000000170,F000170,Himachal Pradesh,HPDist133,1.0,Paddy,Borewell,Clay
100000000171,F000171,Haryana,HDist112,0.89,Paddy,Borewell,Loam
100000000172,F000172,Goa,GDist96,0.95,Paddy,Rainfed,Clay
100000000173,F000173,Meghalaya,MDist86,1.71,Millet,Borewell,Loam
100000000174,F000174,Jharkhand,JDist115,2.39,Paddy,Borewell,Clay
100000000175,F000175,Andhra Pradesh,APDist136,2.27,Paddy,Borewell,Loam
100000000176,F000176,West Bengal,WBDist118,3.53,Paddy,Rainfed,Loam
100000000177,F000177,Chhattisgarh,CDist62,1.84,Paddy,Rainfed,Clay
100000000178,F000178,Jharkhand,JDist22,5.83,Maize,Borewell,Clay
100000000179,F000179,Andaman & Nicobar,A&NDist6,1.47,Paddy,Borewell,Sandy
100000000180,F000180,Tripura,TDist89,16.06,Maize,Canal,Clay
100000000181,F000181,Meghalaya,MDist87,3.01,Paddy,Rainfed,Sandy
100000000182,F000182,Kerala,KDist118,0.92,Rubber,Rainfed,Clay
100000000183,F000183,Assam,ADist102,0.77,Tea,Borewell,Loam
100000000184,F000184,Ladakh,LDist85,2.68,Potato,Borewell,Sandy
100000000185,F000185,Nagaland,NDist99,1.52,Paddy,Rainfed,Clay
100000000186,F000186,Sikkim,SDist22,3.23,Paddy,Canal,Clay
100000000187,F000187,West Bengal,WBDist76,2.66,Paddy,Borewell,Loam
100000000188,F000188,Punjab,PDist91,1.72,Paddy,Canal,Clay
100000000189,F000189,West Bengal,WBDist41,0.93,Maize,Rainfed,Loam
100000000190,F000190,Arunachal Pradesh,APDist94,0.54,Paddy,Rainfed,Sandy
100000000191,F000191,Telangana,TDist20,1.27,Maize,Borewell,Loam
100000000192,F000192,Himachal Pradesh,HPDist48,3.62,Maize,Borewell,Sandy
100000000193,F000193,Puducherry,PDist126,2.16,Sugarcane,Borewell,Clay
100000000194,F000194,Madhya Pradesh,MPDist23,0.67,Wheat,Borewell,Loam
100000000195,F000195,Rajasthan,RDist45,2.09,Cotton,Rainfed,Sandy
100000000196,F000196,Telangana,TDist93,2.48,Cotton,Borewell,Loam
100000000197,F000197,Telangana,TDist123,0.9,Maize,Borewell,Loam
100000000198,F000198,Andaman & Nicobar,A&NDist116,2.06,Paddy,Rainfed,Sandy
100000000199,F000199,Jammu & Kashmir,J&KDist111,1.91,Apple,Rainfed,Sandy
100000000200,F000200,Chandigarh,CDist58,0.73,Wheat,Rainfed,Sandy
100000000201,F000201,Tamil Nadu,TNDist78,2.43,Cotton,Rainfed,Clay
100000000202,F000202,Goa,GDist87,2.85,Paddy,Canal,Sandy
100000000203,F000203,Assam,ADist147,4.33,Paddy,Borewell,Sandy
100000000204,F000204,Uttarakhand,UDist104,4.23,Rice,Rainfed,Sandy
100000000205,F000205,Punjab,PDist88,0.61,Paddy,Borewell,Loam
100000000206,F000206,Jharkhand,JDist144,0.86,Maize,Borewell,Clay
100000000207,F000207,Gujarat,GDist99,2.75,Cotton,Canal,Clay
100000000208,F000208,Uttarakhand,UDist132,2.75,Rice,Rainfed,Sandy
100000000209,F000209,Jammu & Kashmir,J&KDist56,2.75,Apple,Canal,Loam
100000000210,F000210,Tamil Nadu,TNDist74,25.0,Paddy,Borewell,Clay
100000000211,F000211,Andhra Pradesh,APDist103,2.88,Paddy,Borewell,Clay
100000000212,F000212,Bihar,BDist141,4.52,Wheat,Canal,Clay
100000000213,F000213,Nagaland,NDist94,3.91,Paddy,Borewell,Loam
100000000214,F000214,Jharkhand,JDist86,3.07,Paddy,Canal,Clay
100000000215,F000215,Ladakh,LDist101,1.42,Potato,Borewell,Sandy
100000000216,F000216,Punjab,PDist5,3.34,Paddy,Canal,Sandy
100000000217,F000217,Telangana,TDist7,0.98,Maize,Borewell,Clay
100000000218,F000218,Ladakh,LDist44,1.51,Potato,Rainfed,Sandy
100000000219,F000219,Andaman & Nicobar,A&NDist49,1.24,Paddy,Borewell,Sandy
100000000220,F000220,Arunachal Pradesh,APDist121,1.95,Millet,Borewell,Clay
100000000221,F000221,Bihar,BDist97,11.61,Wheat,Borewell,Loam
100000000222,F000222,Rajasthan,RDist68,0.41,Bajra,Rainfed,Clay
100000000223,F000223,Ladakh,LDist77,3.16,Barley,Rainfed,Clay
100000000224,F000224,Odisha,ODist71,0.5,Paddy,Canal,Clay
100000000225,F000225,Odisha,ODist38,1.25,Paddy,Canal,Sandy
100000000226,F000226,Odisha,ODist123,4.35,Paddy,Borewell,Sandy
100000000227,F000227,Maharashtra,MDist62,1.92,Maize,Borewell,Sandy
100000000228,F000228,Meghalaya,MDist85,0.77,Paddy,Canal,Sandy
100000000229,F000229,Ladakh,LDist105,1.03,Barley,Canal,Loam
100000000230,F000230,Ladakh,LDist23,3.14,Potato,Canal,Clay
100000000231,F000231,Manipur,MDist10,1.02,Paddy,Rainfed,Loam
100000000232,F000232,Uttar Pradesh,UPDist3,2.17,Paddy,Borewell,Sandy
100000000233,F000233,Punjab,PDist127,1.89,Wheat,Rainfed,Clay
100000000234,F000234,Himachal Pradesh,HPDist48,1.08,Maize,Borewell,Loam
100000000235,F000235,Andhra Pradesh,APDist104,10.13,Groundnut,Rainfed,Sandy
100000000236,F000236,West Bengal,WBDist64,3.03,Jute,Borewell,Sandy
100000000237,F000237,Andhra Pradesh,APDist3,0.36,Maize,Borewell,Clay
100000000238,F000238,Mizoram,MDist129,2.12,Maize,Borewell,Sandy
100000000239,F000239,Punjab,PDist123,1.07,Wheat,Canal,Clay
100000000240,F000240,Jharkhand,JDist138,3.6,Maize,Rainfed,Clay
100000000241,F000241,Maharashtra,MDist145,0.97,Maize,Rainfed,Loam
100000000242,F000242,Haryana,HDist134,1.66,Wheat,Rainfed,Sandy
100000000243,F000243,Delhi,DDist15,2.73,Vegetables,Borewell,Sandy
100000000244,F000244,Jammu & Kashmir,J&KDist79,3.64,Paddy,Canal,Clay
100000000245,F000245,Arunachal Pradesh,APDist17,0.7,Millet,Rainfed,Sandy
100000000246,F000246,Bihar,BDist108,1.39,Paddy,Rainfed,Clay
100000000247,F000247,Telangana,TDist139,1.25,Maize,Rainfed,Clay
100000000248,F000248,Himachal Pradesh,HPDist1,1.08,Maize,Borewell,Sandy
100000000249,F000249,Arunachal Pradesh,APDist118,7.48,Millet,Canal,Sandy
100000000250,F000250,Tamil Nadu,TNDist5,2.52,Paddy,Borewell,Sandy
100000000251,F000251,Meghalaya,MDist13,0.66,Paddy,Borewell,Sandy
100000000252,F000252,Meghalaya,MDist36,3.8,Paddy,Borewell,Loam
100000000253,F000253,Chandigarh,CDist83,9.95,Vegetables,Rainfed,Sandy
100000000254,F000254,Meghalaya,MDist45,4.16,Millet,Rainfed,Sandy
100000000255,F000255,West Bengal,WBDist82,0.54,Jute,Borewell,Clay
100000000256,F000256,Uttarakhand,UDist58,1.24,Wheat,Borewell,Clay
100000000257,F000257,Punjab,PDist35,5.02,Wheat,Rainfed,Loam
100000000258,F000258,Tripura,TDist24,1.03,Paddy,Borewell,Clay
100000000259,F000259,Madhya Pradesh,MPDist144,2.6,Wheat,Borewell,Sandy
100000000260,F000260,Maharashtra,MDist49,3.39,Soybean,Rainfed,Clay
100000000261,F000261,Haryana,HDist142,0.87,Cotton,Rainfed,Sandy
100000000262,F000262,Rajasthan,RDist128,1.74,Wheat,Borewell,Sandy
100000000263,F000263,Jammu & Kashmir,J&KDist95,0.2,Paddy,Rainfed,Sandy
100000000264,F000264,Rajasthan,RDist150,0.8,Wheat,Borewell,Loam
100000000265,F000265,Uttarakhand,UDist141,1.49,Wheat,Borewell,Clay
100000000266,F000266,Sikkim,SDist44,0.67,Potato,Rainfed,Clay
100000000267,F000267,Tamil Nadu,TNDist16,6.73,Paddy,Borewell,Sandy
100000000268,F000268,Andaman & Nicobar,A&NDist60,0.58,Coconut,Rainfed,Sandy
100000000269,F000269,Chhattisgarh,CDist124,1.28,Soybean,Borewell,Sandy
100000000270,F000270,Puducherry,PDist138,2.02,Paddy,Borewell,Sandy
100000000271,F000271,Odisha,ODist28,5.77,Paddy,Canal,Sandy
100000000272,F000272,Gujarat,GDist102,0.58,Paddy,Borewell,Loam
100000000273,F000273,Goa,GDist21,4.62,Cashew,Canal,Loam
100000000274,F000274,Assam,ADist44,1.84,Paddy,Borewell,Clay
100000000275,F000275,Goa,GDist136,0.83,Cashew,Canal,Clay
100000000276,F000276,Assam,ADist20,2.64,Paddy,Borewell,Sandy
100000000277,F000277,Nagaland,NDist102,2.14,Paddy,Borewell,Clay
100000000278,F000278,Chhattisgarh,CDist85,1.13,Maize,Canal,Sandy
100000000279,F000279,Tripura,TDist14,1.93,Paddy,Rainfed,Sandy
100000000280,F000280,Gujarat,GDist84,1.34,Cotton,Rainfed,Clay
100000000281,F000281,Arunachal Pradesh,APDist150,2.0,Millet,Canal,Clay
100000000282,F000282,Tripura,TDist40,3.09,Paddy,Rainfed,Clay
100000000283,F000283,Tripura,TDist114,6.48,Paddy,Rainfed,Clay
100000000284,F000284,Telangana,TDist27,0.68,Maize,Borewell,Loam
100000000285,F000285,Arunachal Pradesh,APDist4,10.04,Paddy,Borewell,Loam
100000000286,F000286,Odisha,ODist147,0.38,Groundnut,Rainfed,Sandy
100000000287,F000287,Andaman & Nicobar,A&NDist43,1.61,Coconut,Borewell,Loam
100000000288,F000288,West Bengal,WBDist127,2.92,Maize,Borewell,Loam
100000000289,F000289,Madhya Pradesh,MPDist85,2.28,Soybean,Borewell,Loam
100000000290,F000290,Delhi,DDist52,1.11,Paddy,Borewell,Sandy
100000000291,F000291,Ladakh,LDist126,1.54,Potato,Borewell,Clay
100000000292,F000292,Meghalaya,MDist140,1.23,Millet,Borewell,Clay
100000000293,F000293,Kerala,KDist75,1.14,Rubber,Borewell,Sandy
100000000294,F000294,Chhattisgarh,CDist109,3.6,Maize,Canal,Sandy
100000000295,F000295,Tripura,TDist108,2.42,Paddy,Borewell,Sandy
100000000296,F000296,Assam,ADist64,1.05,Tea,Rainfed,Sandy
100000000297,F000297,Tamil Nadu,TNDist85,3.74,Paddy,Canal,Loam
100000000298,F000298,West Bengal,WBDist148,2.33,Paddy,Borewell,Clay
100000000299,F000299,Manipur,MDist7,3.49,Maize,Borewell,Sandy
100000000300,F000300,Ladakh,LDist80,3.02,Barley,Borewell,Loam
100000000301,F000301,Sikkim,SDist116,0.94,Potato,Rainfed,Sandy
100000000302,F000302,Rajasthan,RDist43,1.16,Bajra,Borewell,Sandy
100000000303,F000303,Meghalaya,MDist104,3.31,Paddy,Canal,Clay
100000000304,F000304,Kerala,KDist116,2.97,Paddy,Canal,Clay
100000000305,F000305,West Bengal,WBDist148,1.79,Maize,Rainfed,Loam
100000000306,F000306,Gujarat,GDist126,2.0,Paddy,Borewell,Clay
100000000307,F000307,Andaman & Nicobar,A&NDist118,5.06,Paddy,Canal,Sandy
100000000308,F000308,Kerala,KDist62,1.14,Rubber,Rainfed,Sandy
100000000309,F000309,Punjab,PDist148,2.82,Wheat,Borewell,Sandy
100000000310,F000310,Tripura,TDist143,1.55,Maize,Canal,Sandy
100000000311,F000311,Karnataka,KDist3,1.53,Sugarcane,Borewell,Clay
100000000312,F000312,Puducherry,PDist126,4.39,Paddy,Borewell,Clay
100000000313,F000313,Uttarakhand,UDist9,3.53,Wheat,Canal,Loam
100000000314,F000314,Nagaland,NDist127,3.49,Paddy,Canal,Loam
100000000315,F000315,Chandigarh,CDist11,5.18,Wheat,Canal,Clay
100000000316,F000316,Delhi,DDist116,1.85,Vegetables,Borewell,Sandy
100000000317,F000317,Mizoram,MDist90,3.14,Maize,Borewell,Loam
100000000318,F000318,West Bengal,WBDist137,1.42,Paddy,Canal,Loam
100000000319,F000319,Nagaland,NDist132,2.36,Paddy,Borewell,Sandy
100000000320,F000320,Gujarat,GDist64,1.64,Groundnut,Rainfed,Clay
100000000321,F000321,Jharkhand,JDist107,1.97,Pulses,Rainfed,Sandy
100000000322,F000322,Tripura,TDist95,2.93,Maize,Canal,Loam
100000000323,F000323,Jammu & Kashmir,J&KDist92,0.95,Apple,Canal,Sandy
100000000324,F000324,Chhattisgarh,CDist73,9.72,Soybean,Borewell,Clay
100000000325,F000325,Sikkim,SDist12,0.81,Paddy,Canal,Clay
100000000326,F000326,Gujarat,GDist117,0.69,Paddy,Rainfed,Clay
100000000327,F000327,Andhra Pradesh,APDist71,4.6,Maize,Rainfed,Loam
100000000328,F000328,Goa,GDist79,3.43,Cashew,Borewell,Sandy
100000000329,F000329,Manipur,MDist58,3.0,Maize,Borewell,Loam
100000000330,F000330,Andaman & Nicobar,A&NDist34,3.01,Paddy,Borewell,Sandy
100000000331,F000331,Ladakh,LDist77,1.8,Barley,Borewell,Loam
100000000332,F000332,Himachal Pradesh,HPDist145,0.89,Paddy,Rainfed,Loam
100000000333,F000333,Andhra Pradesh,APDist106,1.94,Groundnut,Borewell,Clay
100000000334,F000334,Delhi,DDist110,1.06,Vegetables,Rainfed,Loam
100000000335,F000335,Rajasthan,RDist73,3.98,Bajra,Borewell,Loam
100000000336,F000336,Arunachal Pradesh,APDist62,1.62,Millet,Canal,Sandy
100000000337,F000337,Puducherry,PDist93,0.94,Sugarcane,Borewell,Sandy
100000000338,F000338,Rajasthan,RDist121,1.41,Bajra,Rainfed,Sandy
100000000339,F000339,Chhattisgarh,CDist102,2.54,Paddy,Canal,Loam
100000000340,F000340,Chandigarh,CDist138,1.16,Vegetables,Rainfed,Clay
100000000341,F000341,Jharkhand,JDist84,0.94,Maize,Borewell,Sandy
100000000342,F000342,Uttar Pradesh,UPDist62,2.21,Sugarcane,Rainfed,Sandy
100000000343,F000343,Bihar,BDist45,2.22,Paddy,Borewell,Clay
100000000344,F000344,Haryana,HDist133,1.21,Wheat,Rainfed,Sandy
100000000345,F000345,Mizoram,MDist8,1.25,Paddy,Borewell,Sandy
100000000346,F000346,Sikkim,SDist128,2.19,Potato,Borewell,Loam
100000000347,F000347,Jammu & Kashmir,J&KDist147,0.57,Apple,Canal,Sandy
100000000348,F000348,Haryana,HDist121,0.59,Wheat,Rainfed,Loam
100000000349,F000349,Telangana,TDist108,1.03,Maize,Borewell,Loam
100000000350,F000350,Manipur,MDist31,1.54,Maize,Borewell,Sandy
100000000351,F000351,Chandigarh,CDist120,2.34,Wheat,Borewell,Sandy
100000000352,F000352,Odisha,ODist78,5.93,Groundnut,Borewell,Clay
100000000353,F000353,Meghalaya,MDist140,3.62,Millet,Canal,Clay
100000000354,F000354,Meghalaya,MDist3,1.6,Paddy,Borewell,Clay
